 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.70038113E+08
 R [km]                                          :    9.99500031E-01
 Mean Density [g/cm^3]                           :    1.60199981E-04
 C/mR^2 (Total Moment of Inertia Respect to z)   :    6.99788752E-03
 C20                                             :    1.05934458E-04
 C22                                             :    3.18098858E-05
 ekf (Equivalent Fluid Love Number)              :    2.74071659E-04
 H(n)                                            :    4.00109629E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.30119598E+00
 b-R [km]                                        :   -5.04358939E-01
 c-R [km]                                        :   -6.19059686E-01
 
 f1=(a-c)/a                                      :    9.28228222E-01
 f2=(b-c)/b                                      :    2.31652646E-01
 f3=(a-b)/a                                      :    6.96575577E-01
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74096179E+00
 f_MacLaurin                                     :    5.78972934E-01
 f_Roche                                         :    2.31993473E+00
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
 178    8.85000314E-02    4.33157280E+10    2.11961208E+06    1.10154245E+04    7.54449153E-04    1.07979244E-02
 179    8.90000314E-02    4.24120542E+10    2.09897543E+06    1.10322243E+04    7.60185009E-04    1.06094927E-02
 180    8.95000314E-02    4.15289127E+10    2.07849182E+06    1.10480947E+04    7.65971853E-04    1.04251157E-02
 181    9.00000314E-02    4.06658129E+10    2.05816254E+06    1.10630494E+04    7.71809950E-04    1.02446913E-02
 182    9.05000314E-02    3.98222762E+10    2.03798875E+06    1.10771020E+04    7.77699568E-04    1.00681200E-02
 183    9.10000314E-02    3.89978351E+10    2.01797152E+06    1.10902663E+04    7.83640973E-04    9.89530513E-03
 184    9.15000314E-02    3.81920335E+10    1.99811179E+06    1.11025556E+04    7.89634433E-04    9.72615296E-03
 185    9.20000314E-02    3.74044263E+10    1.97841039E+06    1.11139836E+04    7.95680217E-04    9.56057223E-03
 186    9.25000314E-02    3.66345792E+10    1.95886805E+06    1.11245636E+04    8.01778593E-04    9.39847429E-03
 187    9.30000314E-02    3.58820681E+10    1.93948541E+06    1.11343090E+04    8.07929830E-04    9.23977295E-03
 188    9.35000314E-02    3.51464794E+10    1.92026299E+06    1.11432329E+04    8.14134199E-04    9.08438445E-03
 189    9.40000314E-02    3.44274095E+10    1.90120123E+06    1.11513487E+04    8.20391970E-04    8.93222736E-03
 190    9.45000314E-02    3.37244646E+10    1.88230050E+06    1.11586693E+04    8.26703413E-04    8.78322250E-03
 191    9.50000314E-02    3.30372603E+10    1.86356106E+06    1.11652077E+04    8.33068799E-04    8.63729289E-03
 192    9.55000314E-02    3.23654218E+10    1.84498310E+06    1.11709769E+04    8.39488400E-04    8.49436368E-03
 193    9.60000314E-02    3.17085833E+10    1.82656674E+06    1.11759897E+04    8.45962489E-04    8.35436207E-03
 194    9.65000314E-02    3.10663879E+10    1.80831201E+06    1.11802586E+04    8.52491338E-04    8.21721727E-03
 195    9.70000314E-02    3.04384875E+10    1.79021888E+06    1.11837963E+04    8.59075220E-04    8.08286044E-03
 196    9.75000314E-02    2.98245423E+10    1.77228725E+06    1.11866153E+04    8.65714408E-04    7.95122459E-03
 197    9.80000314E-02    2.92242210E+10    1.75451696E+06    1.11887279E+04    8.72409177E-04    7.82224459E-03
 198    9.85000314E-02    2.86372004E+10    1.73690778E+06    1.11901463E+04    8.79159800E-04    7.69585706E-03
 199    9.90000314E-02    2.80631652E+10    1.71945943E+06    1.11908828E+04    8.85966553E-04    7.57200034E-03
 200    9.95000314E-02    2.75018077E+10    1.70217157E+06    1.11909492E+04    8.92829711E-04    7.45061443E-03
