 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.04615057E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    2.49750051E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.66623557E-01
 C20                                             :    1.35263724E-04
 C22                                             :    4.06168465E-05
 ekf (Equivalent Fluid Love Number)              :    5.45571086E-01
 H(n)                                            :    6.18228434E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.37210372E-04
 b-R [km]                                        :   -1.53710119E-04
 c-R [km]                                        :   -3.83270726E-04
 
 f1=(a-c)/a                                      :    9.19986845E-04
 f2=(b-c)/b                                      :    2.29595892E-04
 f3=(a-b)/a                                      :    6.90390953E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.11672468E-03
 f_MacLaurin                                     :    3.71377114E-04
 f_Roche                                         :    1.48810180E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
 110    5.50000000E-02    9.45000000E+11    1.77984811E+07    3.55776259E+04    3.77412388E-01    9.59029338E-02
 111    5.55000000E-02    9.44500000E+11    1.81154597E+07    3.68756295E+04    3.77461822E-01    9.50192609E-02
 112    5.60000000E-02    9.44000000E+11    1.84350584E+07    3.82084598E+04    3.77511284E-01    9.41510775E-02
 113    5.65000000E-02    9.43500000E+11    1.87572724E+07    3.95767173E+04    3.77560773E-01    9.32979800E-02
 114    5.70000000E-02    9.43000000E+11    1.90820971E+07    4.09810073E+04    3.77610291E-01    9.24595783E-02
 115    5.75000000E-02    9.42500000E+11    1.94095278E+07    4.24219393E+04    3.77659836E-01    9.16354959E-02
 116    5.80000000E-02    9.42000000E+11    1.97395597E+07    4.39001277E+04    3.77709409E-01    9.08253689E-02
 117    5.85000000E-02    9.41500000E+11    2.00721881E+07    4.54161910E+04    3.77759009E-01    9.00288459E-02
 118    5.90000000E-02    9.41000000E+11    2.04074084E+07    4.69707523E+04    3.77808638E-01    8.92455867E-02
 119    5.95000000E-02    9.40500000E+11    2.07452157E+07    4.85644394E+04    3.77858295E-01    8.84752628E-02
 120    6.00000000E-02    9.40000000E+11    2.10856054E+07    5.01978841E+04    3.77907979E-01    8.77175563E-02
 121    6.05000000E-02    9.39500000E+11    2.14285728E+07    5.18717230E+04    3.77957692E-01    8.69721596E-02
 122    6.10000000E-02    9.39000000E+11    2.17741132E+07    5.35865969E+04    3.78007433E-01    8.62387750E-02
 123    6.15000000E-02    9.38500000E+11    2.21222218E+07    5.53431509E+04    3.78057201E-01    8.55171144E-02
 124    6.20000000E-02    9.38000000E+11    2.24728940E+07    5.71420349E+04    3.78106998E-01    8.48068989E-02
 125    6.25000000E-02    9.37500000E+11    2.28261250E+07    5.89839026E+04    3.78156823E-01    8.41078580E-02
 126    6.30000000E-02    9.37000000E+11    2.31819101E+07    6.08694124E+04    3.78206675E-01    8.34197302E-02
 127    6.35000000E-02    9.36500000E+11    2.35402446E+07    6.27992271E+04    3.78256557E-01    8.27422617E-02
 128    6.40000000E-02    9.36000000E+11    2.39011238E+07    6.47740134E+04    3.78306466E-01    8.20752067E-02
 129    6.45000000E-02    9.35500000E+11    2.42645430E+07    6.67944427E+04    3.78356403E-01    8.14183268E-02
 130    6.50000000E-02    9.35000000E+11    2.46304974E+07    6.88611905E+04    3.78406369E-01    8.07713909E-02
 131    6.55000000E-02    9.34500000E+11    2.49989824E+07    7.09749366E+04    3.78456363E-01    8.01341747E-02
