 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.67394585E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.99625134E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.85632254E-01
 C20                                             :    1.00147944E-04
 C22                                             :    3.00723175E-05
 ekf (Equivalent Fluid Love Number)              :    6.46337347E-01
 H(n)                                            :    6.58534939E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    3.57531285E-04
 b-R [km]                                        :   -1.02300906E-04
 c-R [km]                                        :   -2.55128696E-04
 
 f1=(a-c)/a                                      :    6.12440995E-04
 f2=(b-c)/b                                      :    1.52843421E-04
 f3=(a-b)/a                                      :    4.59597574E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    6.97909172E-04
 f_MacLaurin                                     :    2.32096145E-04
 f_Roche                                         :    9.30005318E-04
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
 154    7.70000000E-02    9.94071000E+11    3.67921847E+07    1.44514732E+05    4.95027159E-01    5.92313276E-02
 155    7.75000000E-02    9.93994000E+11    3.72702344E+07    1.48306019E+05    4.95033773E-01    5.88506600E-02
 156    7.80000000E-02    9.93916000E+11    3.77512940E+07    1.52171114E+05    4.95040431E-01    5.84747579E-02
 157    7.85000000E-02    9.93838000E+11    3.82353999E+07    1.56111112E+05    4.95047131E-01    5.81035900E-02
 158    7.90000000E-02    9.93759000E+11    3.87225124E+07    1.60126809E+05    4.95053874E-01    5.77370093E-02
 159    7.95000000E-02    9.93680000E+11    3.92126686E+07    1.64219319E+05    4.95060661E-01    5.73749882E-02
 160    8.00000000E-02    9.93600000E+11    3.97058280E+07    1.68389442E+05    4.95067490E-01    5.70173848E-02
 161    8.05000000E-02    9.93520000E+11    4.02020287E+07    1.72638313E+05    4.95074363E-01    5.66641749E-02
 162    8.10000000E-02    9.93439000E+11    4.07012290E+07    1.76966732E+05    4.95081279E-01    5.63152215E-02
 163    8.15000000E-02    9.93358000E+11    4.12034681E+07    1.81375856E+05    4.95088238E-01    5.59705036E-02
 164    8.20000000E-02    9.93276000E+11    4.17087032E+07    1.85866487E+05    4.95095240E-01    5.56298886E-02
 165    8.25000000E-02    9.93194000E+11    4.22169745E+07    1.90439801E+05    4.95102285E-01    5.52933585E-02
 166    8.30000000E-02    9.93111000E+11    4.27282383E+07    1.95096606E+05    4.95109373E-01    5.49607850E-02
 167    8.35000000E-02    9.93028000E+11    4.32425357E+07    1.99838095E+05    4.95116505E-01    5.46321530E-02
 168    8.40000000E-02    9.92944000E+11    4.37598219E+07    2.04665078E+05    4.95123680E-01    5.43073382E-02
 169    8.45000000E-02    9.92860000E+11    4.42801391E+07    2.09578771E+05    4.95130898E-01    5.39863280E-02
 170    8.50000000E-02    9.92775000E+11    4.48034414E+07    2.14579984E+05    4.95138159E-01    5.36690021E-02
 171    8.55000000E-02    9.92690000E+11    4.53297721E+07    2.19669954E+05    4.95145463E-01    5.33553503E-02
 172    8.60000000E-02    9.92604000E+11    4.58590842E+07    2.24849493E+05    4.95152810E-01    5.30452558E-02
 173    8.65000000E-02    9.92518000E+11    4.63914219E+07    2.30119859E+05    4.95160201E-01    5.27387109E-02
 174    8.70000000E-02    9.92431000E+11    4.69267372E+07    2.35481865E+05    4.95167635E-01    5.24356021E-02
 175    8.75000000E-02    9.92344000E+11    4.74650755E+07    2.40936790E+05    4.95175112E-01    5.21359238E-02
 176    8.80000000E-02    9.92256000E+11    4.80063876E+07    2.46485448E+05    4.95182632E-01    5.18395660E-02
 177    8.85000000E-02    9.92168000E+11    4.85507199E+07    2.52129141E+05    4.95190196E-01    5.15465249E-02
 178    8.90000000E-02    9.92079000E+11    4.90980221E+07    2.57868682E+05    4.95197803E-01    5.12566936E-02
 179    8.95000000E-02    9.91990000E+11    4.96483418E+07    2.63705395E+05    4.95205453E-01    5.09700704E-02
 180    9.00000000E-02    9.91900000E+11    5.02016274E+07    2.69640092E+05    4.95213147E-01    5.06865513E-02
 181    9.05000000E-02    9.91810000E+11    5.07579277E+07    2.75674122E+05    4.95220883E-01    5.04061361E-02
 182    9.10000000E-02    9.91719000E+11    5.13171901E+07    2.81808295E+05    4.95228663E-01    5.01287238E-02
 183    9.15000000E-02    9.91628000E+11    5.18794642E+07    2.88043982E+05    4.95236487E-01    4.98543160E-02
 184    9.20000000E-02    9.91536000E+11    5.24446964E+07    2.94381994E+05    4.95244353E-01    4.95828141E-02
 185    9.25000000E-02    9.91444000E+11    5.30129376E+07    3.00823725E+05    4.95252263E-01    4.93142214E-02
 186    9.30000000E-02    9.91351000E+11    5.35841327E+07    3.07369982E+05    4.95260217E-01    4.90484419E-02
 187    9.35000000E-02    9.91258000E+11    5.41583339E+07    3.14022185E+05    4.95268214E-01    4.87854803E-02
 188    9.40000000E-02    9.91164000E+11    5.47354850E+07    3.20781139E+05    4.95276254E-01    4.85252429E-02
 189    9.45000000E-02    9.91070000E+11    5.53156391E+07    3.27648287E+05    4.95284337E-01    4.82677359E-02
 190    9.50000000E-02    9.90975000E+11    5.58987391E+07    3.34624432E+05    4.95292464E-01    4.80128681E-02
 191    9.55000000E-02    9.90880000E+11    5.64848392E+07    3.41711041E+05    4.95300634E-01    4.77606466E-02
 192    9.60000000E-02    9.90784000E+11    5.70738810E+07    3.48908915E+05    4.95308848E-01    4.75109826E-02
 193    9.65000000E-02    9.90688000E+11    5.76659198E+07    3.56219547E+05    4.95317105E-01    4.72638845E-02
 194    9.70000000E-02    9.90591000E+11    5.82608961E+07    3.63643732E+05    4.95325406E-01    4.70192655E-02
 195    9.75000000E-02    9.90494000E+11    5.88588665E+07    3.71182990E+05    4.95333750E-01    4.67771351E-02
 196    9.80000000E-02    9.90396000E+11    5.94597700E+07    3.78838110E+05    4.95342137E-01    4.65374087E-02
 197    9.85000000E-02    9.90298000E+11    6.00636646E+07    3.86610640E+05    4.95350568E-01    4.63000967E-02
 198    9.90000000E-02    9.90199000E+11    6.06704880E+07    3.94501365E+05    4.95359042E-01    4.60651164E-02
 199    9.95000000E-02    9.90100000E+11    6.12802994E+07    4.02511856E+05    4.95367560E-01    4.58324793E-02
 200    1.00000000E-01    9.90000000E+11    6.18930352E+07    4.10642896E+05    4.95376122E-01    4.56021046E-02
